"Liquidacion","Tipo_Liquidacion","Especie","Recibo"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482671"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482672"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482674"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
"81553","","CDTBBO90VD","1482675"
